slot,slot_code,x_cm,y_cm,z_cm,yaw_deg,invert_xy_velocity,qr_value
A1,0xA1,175.0,-40.0,128.0,0.0,0,
A2,0xA2,125.0,-40.0,128.0,0.0,0,
A3,0xA3,75.0,-40.0,128.0,0.0,0,
A4,0xA4,175.0,-40.0,83.0,0.0,0,
A5,0xA5,125.0,-40.0,83.0,0.0,0,
A6,0xA6,75.0,-40.0,83.0,0.0,0,
B1,0xB1,75.0,-110.0,128.0,180.0,1,
B2,0xB2,125.0,-110.0,128.0,180.0,1,
B3,0xB3,175.0,-110.0,128.0,180.0,1,
B4,0xB4,75.0,-110.0,83.0,180.0,1,
B5,0xB5,125.0,-110.0,83.0,180.0,1,
B6,0xB6,175.0,-110.0,83.0,180.0,1,
C1,0xC1,175.0,-245.0,128.0,0.0,0,
C2,0xC2,125.0,-245.0,128.0,0.0,0,
C3,0xC3,75.0,-245.0,128.0,0.0,0,
C4,0xC4,175.0,-245.0,83.0,0.0,0,
C5,0xC5,125.0,-245.0,83.0,0.0,0,
C6,0xC6,75.0,-245.0,83.0,0.0,0,
D1,0xD1,75.0,-305.0,128.0,180.0,1,
D2,0xD2,125.0,-305.0,128.0,180.0,1,
D3,0xD3,175.0,-305.0,128.0,180.0,1,
D4,0xD4,175.0,-305.0,83.0,180.0,1,
D5,0xD5,125.0,-305.0,83.0,180.0,1,
D6,0xD6,75.0,-305.0,83.0,180.0,1,
